Кандзи;JLPT
丁;1
佐;1
嫌;1
刀;1
証;1
奇;1
致;1
密;1
響;1
弁;1
矢;1
隊;1
街;1
是;1
描;1
唯;1
丈;1
即;1
倉;1
岡;1
勧;1
養;1
籠;1
駄;1
護;1
盛;1
寸;1
踏;1
露;1
狂;1
織;1
郷;1
甲;1
僧;1
儀;1
樹;1
婆;1
津;1
撃;1
統;1
玄;1
騒;1
秘;1
傷;1
輩;1
激;1
旦;1
柄;1
酔;1
銭;1
皇;1
筋;1
隣;1
鏡;1
遣;1
舎;1
霊;1
呉;1
瞬;1
聴;1
甚;1
哲;1
殊;1
就;1
跡;1
崎;1
尋;1
挙;1
凡;1
脱;1
提;1
滅;1
芝;1
秀;1
随;1
屈;1
幕;1
既;1
俗;1
奉;1
姫;1
剣;1
紀;1
握;1
浪;1
陰;1
伏;1
惑;1
穴;1
魂;1
忠;1
迫;1
遺;1
弾;1
懸;1
懐;1
叔;1
帝;1
射;1
染;1
麗;1
柳;1
膝;1
華;1
忍;1
憶;1
厳;1
納;1
頬;1
伯;1
邪;1
闇;1
哀;1
鬼;1
寂;1
梅;1
称;1
威;1
聖;1
趣;1
脚;1
充;1
伴;1
堪;1
嬢;1
杉;1
斎;1
陣;1
慮;1
遂;1
益;1
尽;1
概;1
暫;1
推;1
呂;1
汽;1
卓;1
拠;1
障;1
吐;1
却;1
惜;1
仙;1
執;1
模;1
戯;1
繰;1
揺;1
扉;1
併;1
浜;1
竜;1
創;1
墓;1
虚;1
椅;1
功;1
闘;1
鶴;1
瀬;1
亭;1
侍;1
慢;1
載;1
廊;1
尚;1
飾;1
宜;1
輝;1
襲;1
賀;1
勘;1
愚;1
悟;1
刑;1
帳;1
駆;1
袖;1
俳;1
尺;1
裕;1
揚;1
釈;1
斬;1
烈;1
舌;1
熊;1
菊;1
添;1
弥;1
羅;1
唇;1
覧;1
誘;1
策;1
避;1
釣;1
兼;1
丹;1
鮮;1
摩;1
麻;1
桜;1
嫁;1
旗;1
寧;1
垂;1
扱;1
蛇;1
抵;1
潜;1
獄;1
唐;1
巡;1
澄;1
免;1
潮;1
枕;1
透;1
紫;1
阪;1
鉢;1
乏;1
癖;1
序;1
奪;1
沙;1
眉;1
抗;1
謝;1
属;1
誠;1
繁;1
遇;1
巧;1
尻;1
綱;1
幽;1
隆;1
愉;1
壇;1
裁;1
監;1
奈;1
討;1
牧;1
豆;1
乞;1
裂;1
挨;1
拶;1
砲;1
典;1
琴;1
系;1
鈴;1
茂;1
拭;1
卑;1
臭;1
範;1
垣;1
奮;1
貫;1
帆;1
獣;1
霧;1
閣;1
膳;1
嘆;1
駒;1
唱;1
崩;1
猿;1
憂;1
浦;1
匠;1
攻;1
衝;1
匂;1
暇;1
宣;1
堅;1
濁;1
曹;1
貞;1
徴;1
孔;1
躍;1
棚;1
締;1
壊;1
叱;1
棄;1
豪;1
艦;1
涯;1
縦;1
縮;1
悔;1
邸;1
凝;1
俊;1
滑;1
紋;1
幻;1
恩;1
凄;1
誇;1
淡;1
稽;1
漸;1
訴;1
郡;1
徹;1
翁;1
逸;1
唄;1
丘;1
猛;1
熟;1
爵;1
稿;1
笛;1
焦;1
裸;1
堀;1
孤;1
銃;1
藩;1
偵;1
呪;1
慰;1
敏;1
葬;1
鼓;1
恨;1
惨;1
骸;1
須;1
壮;1
仁;1
憤;1
荘;1
酷;1
僅;1
腐;1
顧;1
寛;1
稲;1
隙;1
据;1
拘;1
継;1
肥;1
抑;1
彩;1
斜;1
閑;1
寿;1
煮;1
炎;1
虎;1
審;1
岳;1
請;1
慈;1
沼;1
賊;1
拙;1
蓋;1
孝;1
掌;1
湧;1
窮;1
偽;1
胆;1
悠;1
悦;1
鶏;1
桃;1
歓;1
督;1
弓;1
隔;1
雷;1
鐘;1
彫;1
揮;1
瓦;1
災;1
戒;1
絹;1
醜;1
臨;1
劣;1
陥;1
喉;1
喚;1
廃;1
拍;1
巣;1
猶;1
穂;1
宛;1
奏;1
衰;1
網;1
妖;1
睡;1
襟;1
貌;1
盤;1
催;1
紳;1
塚;1
緊;1
縫;1
覆;1
侯;1
裾;1
旨;1
某;1
鬱;1
跳;1
詳;1
鎌;1
粋;1
飽;1
縛;1
脇;1
顕;1
企;1
謀;1
蹴;1
戴;1
誉;1
没;1
盾;1
粗;1
崖;1
潔;1
炉;1
遍;1
羊;1
硝;1
冗;1
芳;1
敢;1
爪;1
珠;1
亜;1
峰;1
洞;1
距;1
尉;1
縄;1
脈;1
騎;1
渉;1
翼;1
瞳;1
矛;1
滝;1
慌;1
施;1
冠;1
紛;1
漂;1
瓶;1
鍵;1
控;1
窟;1
飼;1
陳;1
宵;1
維;1
沿;1
抽;1
献;1
翻;1
墨;1
廷;1
忌;1
患;1
蔑;1
餅;1
亀;1
征;1
索;1
尼;1
煩;1
還;1
魅;1
艶;1
泰;1
朱;1
盲;1
乙;1
罰;1
巾;1
傘;1
辱;1
扇;1
箇;1
促;1
頑;1
艇;1
痩;1
浄;1
剥;1
芽;1
醒;1
拳;1
刃;1
譲;1
且;1
峠;1
履;1
幹;1
沖;1
渋;1
頓;1
圏;1
盆;1
汁;1
誓;1
弦;1
獲;1
穏;1
慶;1
霜;1
鑑;1
疾;1
痴;1
斉;1
塀;1
鎖;1
怨;1
括;1
蜂;1
耐;1
汰;1
籍;1
嘲;1
頻;1
潰;1
牲;1
盟;1
摘;1
倫;1
噴;1
罵;1
肝;1
冒;1
漠;1
詮;1
怠;1
啓;1
砕;1
胴;1
諦;1
鍋;1
漫;1
柿;1
股;1
咽;1
雅;1
蚊;1
捉;1
浸;1
徐;1
狩;1
鎮;1
邦;1
挿;1
渦;1
欄;1
幣;1
携;1
楼;1
憲;1
掲;1
励;1
璃;1
狙;1
詣;1
剛;1
朗;1
陶;1
葛;1
診;1
傑;1
脅;1
犠;1
厄;1
宴;1
援;1
旋;1
吟;1
錯;1
宰;1
弄;1
囚;1
崇;1
謙;1
豚;1
塞;1
晶;1
銘;1
礎;1
架;1
粧;1
瑠;1
顎;1
吏;1
絞;1
藻;1
嵐;1
愁;1
潤;1
塊;1
岐;1
禅;1
堤;1
享;1
慕;1
痕;1
排;1
撮;1
臆;1
刈;1
欺;1
慎;1
妬;1
嫉;1
拒;1
殖;1
妨;1
酌;1
撲;1
暦;1
詠;1
慄;1
猟;1
緩;1
叙;1
稼;1
株;1
侵;1
但;1
疎;1
溝;1
析;1
謡;1
堕;1
侮;1
藍;1
擦;1
癒;1
貢;1
把;1
恭;1
謎;1
蓄;1
秩;1
稚;1
賭;1
鉛;1
僚;1
慨;1
泡;1
滞;1
鍛;1
苛;1
懇;1
箸;1
契;1
庸;1
暁;1
錦;1
伐;1
遮;1
穀;1
瞭;1
漏;1
芋;1
薫;1
酸;1
偏;1
削;1
奔;1
餌;1
采;1
遭;1
釜;1
択;1
融;1
蔽;1
羨;1
桑;1
径;1
雰;1
騰;1
刹;1
貼;1
需;1
嗅;1
紺;1
逐;1
斗;1
昧;1
褒;1
塾;1
麓;1
畏;1
棟;1
牙;1
漬;1
糖;1
妄;1
蛮;1
糧;1
蜜;1
粛;1
朴;1
侶;1
飢;1
喪;1
坪;1
升;1
殴;1
弧;1
虐;1
託;1
餓;1
后;1
碑;1
渓;1
唾;1
殻;1
俵;1
項;1
爽;1
戚;1
克;1
廉;1
膨;1
薪;1
呈;1
伎;1
肺;1
禍;1
炊;1
腸;1
棺;1
玩;1
赦;1
陵;1
碁;1
憾;1
擁;1
韻;1
肖;1
誕;1
婿;1
媒;1
諾;1
賜;1
扶;1
淫;1
謹;1
隷;1
償;1
斑;1
坑;1
渇;1
践;1
佳;1
錠;1
斥;1
喝;1
凶;1
篤;1
髄;1
溺;1
胞;1
症;1
赴;1
諭;1
旬;1
儒;1
酬;1
捻;1
梨;1
苗;1
恒;1
挑;1
畔;1
憧;1
弊;1
柵;1
衡;1
脊;1
貪;1
核;1
班;1
隻;1
磁;1
椎;1
遷;1
朽;1
軸;1
郭;1
冶;1
拓;1
虹;1
懲;1
桟;1
洪;1
諧;1
摂;1
寮;1
訂;1
墜;1
措;1
羞;1
冥;1
披;1
胎;1
譜;1
凹;1
倣;1
雌;1
遜;1
陛;1
妥;1
萎;1
傲;1
鯨;1
剖;1
娯;1
棋;1
擬;1
繕;1
妃;1
勅;1
迅;1
購;1
錬;1
卸;1
茎;1
煎;1
昆;1
韓;1
嚇;1
峡;1
腫;1
漆;1
剤;1
繊;1
寡;1
濫;1
庶;1
簿;1
粘;1
肢;1
罷;1
惰;1
抄;1
閲;1
租;1
奨;1
曖;1
岬;1
舷;1
肘;1
勃;1
累;1
臼;1
栽;1
缶;1
梗;1
債;1
虜;1
軌;1
膜;1
窃;1
賦;1
毀;1
匿;1
搾;1
穫;1
潟;1
槽;1
喩;1
枠;1
褐;1
勲;1
憩;1
厘;1
抹;1
祥;1
剰;1
鋼;1
腎;1
淑;1
舗;1
薦;1
睦;1
詐;1
堆;1
阻;1
串;1
蛍;1
培;1
閥;1
逝;1
挫;1
覇;1
弔;1
菌;1
蚕;1
勾;1
凸;1
搬;1
墳;1
鋳;1
桁;1
賓;1
滋;1
唆;1
殉;1
旺;1
茨;1
嗣;1
訟;1
詔;1
憬;1
妊;1
帥;1
酢;1
衷;1
娠;1
綻;1
斤;1
墾;1
票;1
舶;1
尿;1
賄;1
醸;1
栓;1
緻;1
硫;1
緯;1
撤;1
汎;1
拷;1
曽;1
屯;1
紡;1
肪;1
疫;1
窒;1
丙;1
礁;1
畝;1
遡;1
辣;1
逮;1
惧;1
麺;1
媛;1
拐;1
弐;1
嫡;1
窯;1
虞;1
該;1
循;1
踪;1
倹;1
矯;1
壱;1
俸;1
塁;1
謁;1
枢;1
姻;1
芯;1
耗;1
糾;1
酎;1
拉;1
璧;1
悼;1
阜;1
丼;1
痢;1
壌;1
箋;1
繭;1
沃;1
栃;1
捗;1
埼;1
摯;1
彙;1
泌;1
彰;1
氾;1
痘;1
恣;1
陪;1
頒;1
畿;1
嘱;1
朕;1
填;1
轄;1
賂;1
逓;1
酵;1
謄;1
賠;1
准;1
遵;1
搭;1
款;1
腺;1
諮;1
塑;1
璽;1
楷;1
迭;1
哺;1
訃;1
酪;1
瘍;1
祉;1
劾;1
錮;1
